ncbi_taxon_id_left,aphia_id_left,species_canonical,synonyms,subspecies_left,target_list_status_left,sequencing_status_left,status_left,publication_id_left,rank_left,isMarine_left,isBrackish_left,isFreshwater_left,isTerrestrial_left,isExtinct_left,modified_left,spec_code,order_left,family_x_left,Genus,authority_left,FBname,DemersPelag,Subfamily,depth_min_in_m,depth_max_in_m,common_depth_min,common_depth_max,length_max_in_cm,common_length_in_cm,weight_max_in_g,TempMin,TempMax,__norm_name_left,__aphia,__ncbi_left,ncbi_taxon_id_right,species,subspecies_right,family_x_right,target_list_status_right,sequencing_status_right,synonym,publication_id_right,aphia_id_right,url,scientificname,authority_right,status_right,rank_right,valid_AphiaID,valid_name,order_right,family_y,genus,isMarine_right,isBrackish_right,isFreshwater_right,isTerrestrial_right,isExtinct_right,modified_right,aphia_id_effective,__norm_name_right,__ncbi_right,__source_index,__match_type
61865,105793,Carcharhinus limbatus,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2024-06-19 06:58:31,874.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Valenciennes, 1839)",Blacktip shark,reef-associated,,0.0,140.0,0.0,30.0,286.0,150.0,122750.0,,,carcharhinus limbatus,105793,61865,61865,Carcharhinus limbatus,-,Carcharhinidae,long_list,-,-,-,105793.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105793,Carcharhinus limbatus,"(Valenciennes, 1839)",accepted,Species,105793.0,Carcharhinus limbatus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,1.0,0.0,0.0,,2024-06-19T06:58:31.960Z,105793.0,carcharhinus limbatus,61865,18707,aphia
302049,105794,Carcharhinus longimanus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,875.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Poey, 1861)",Oceanic whitetip shark,pelagic-oceanic,,0.0,1082.0,0.0,152.0,400.0,270.0,167370.0,18.0,28.0,carcharhinus longimanus,105794,302049,302049,Carcharhinus longimanus,-,Carcharhinidae,long_list,-,-,-,105794.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105794,Carcharhinus longimanus,"(Poey, 1861)",accepted,Species,105794.0,Carcharhinus longimanus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105794.0,carcharhinus longimanus,302049,18708,aphia
263686,105795,Carcharhinus melanopterus,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,877.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Quoy & Gaimard, 1824)",Blacktip reef shark,reef-associated,,0.0,75.0,,,200.0,,,,,carcharhinus melanopterus,105795,263686,263686,Carcharhinus melanopterus,-,Carcharhinidae,long_list,-,-,-,105795.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105795,Carcharhinus melanopterus,"(Quoy & Gaimard, 1824)",accepted,Species,105795.0,Carcharhinus melanopterus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105795.0,carcharhinus melanopterus,263686,18710,aphia
7807,105796,Carcharhinus obscurus,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,878.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Lesueur, 1818)",Dusky shark,reef-associated,,0.0,400.0,200.0,400.0,420.0,250.0,346540.0,,,carcharhinus obscurus,105796,7807,7807,Carcharhinus obscurus,-,Carcharhinidae,long_list,-,-,-,105796.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105796,Carcharhinus obscurus,"(Lesueur, 1818)",accepted,Species,105796.0,Carcharhinus obscurus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105796.0,carcharhinus obscurus,7807,18711,aphia
7808,105797,Carcharhinus plumbeus,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,880.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Nardo, 1827)",Sandbar shark,benthopelagic,,0.0,500.0,20.0,65.0,300.0,200.0,117930.0,23.0,27.0,carcharhinus plumbeus,105797,7808,7808,Carcharhinus plumbeus,-,Carcharhinidae,long_list,-,-,-,105797.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105797,Carcharhinus plumbeus,"(Nardo, 1827)",accepted,Species,105797.0,Carcharhinus plumbeus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105797.0,carcharhinus plumbeus,7808,18714,aphia
303943,105798,Carcharhinus signatus,[],-,long_list,-,accepted,-,Species,1.0,0.0,0.0,0.0,,2008-01-15 17:27:08,883.0,Carcharhiniformes,Carcharhinidae,Carcharhinus,"(Poey, 1868)",Night shark,benthopelagic,,0.0,600.0,50.0,100.0,280.0,200.0,76650.0,11.0,16.0,carcharhinus signatus,105798,303943,303943,Carcharhinus signatus,-,Carcharhinidae,long_list,-,-,-,105798.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105798,Carcharhinus signatus,"(Poey, 1868)",accepted,Species,105798.0,Carcharhinus signatus,Carcharhiniformes,Carcharhinidae,Carcharhinus,1.0,0.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105798.0,carcharhinus signatus,303943,18717,aphia
7819,105799,Galeocerdo cuvier,[],-,long_list,in_assembly,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,886.0,Carcharhiniformes,Carcharhinidae,Galeocerdo,"(Péron & Lesueur, 1822)",Tiger shark,benthopelagic,,0.0,800.0,0.0,140.0,750.0,500.0,807400.0,,,galeocerdo cuvier,105799,7819,7819,Galeocerdo cuvier,-,Carcharhinidae,long_list,in_assembly,-,-,105799.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105799,Galeocerdo cuvier,"(Péron & Lesueur, 1822)",accepted,Species,105799.0,Galeocerdo cuvier,Carcharhiniformes,Galeocerdonidae,Galeocerdo,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105799.0,galeocerdo cuvier,7819,18721,aphia
7821,105800,Negaprion brevirostris,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2008-01-15 17:27:08,897.0,Carcharhiniformes,Carcharhinidae,Negaprion,"(Poey, 1868)",Lemon shark,reef-associated,,0.0,92.0,,,340.0,240.0,183700.0,,,negaprion brevirostris,105800,7821,7821,Negaprion brevirostris,-,Carcharhinidae,long_list,-,-,-,105800.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105800,Negaprion brevirostris,"(Poey, 1868)",accepted,Species,105800.0,Negaprion brevirostris,Carcharhiniformes,Carcharhinidae,Negaprion,1.0,1.0,0.0,0.0,,2008-01-15T17:27:08.177Z,105800.0,negaprion brevirostris,7821,18732,aphia
7815,105801,Prionace glauca,[],-,long_list,-,accepted,-,Species,1.0,1.0,0.0,0.0,,2020-09-24 06:35:24,898.0,Carcharhiniformes,Carcharhinidae,Prionace,"(Linnaeus, 1758)",Blue shark,pelagic-oceanic,,0.0,1082.0,1.0,220.0,400.0,335.0,205930.0,7.0,21.0,prionace glauca,105801,7815,7815,Prionace glauca,-,Carcharhinidae,long_list,-,-,-,105801.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105801,Prionace glauca,"(Linnaeus, 1758)",accepted,Species,105801.0,Prionace glauca,Carcharhiniformes,Carcharhinidae,Prionace,1.0,1.0,0.0,0.0,,2020-09-24T06:35:24.693Z,105801.0,prionace glauca,7815,18733,aphia
34770,105802,Rhizoprionodon acutus,[],-,long_list,-,accepted,-,Species,1.0,1.0,1.0,0.0,,2008-01-15 17:27:08,899.0,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,"(Rüppell, 1837)",Milk shark,benthopelagic,,1.0,200.0,,,175.0,110.0,5000.0,,,rhizoprionodon acutus,105802,34770,34770,Rhizoprionodon acutus,-,Carcharhinidae,long_list,-,-,-,105802.0,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105802,Rhizoprionodon acutus,"(Rüppell, 1837)",accepted,Species,105802.0,Rhizoprionodon acutus,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,1.0,1.0,1.0,0.0,,2008-01-15T17:27:08.177Z,105802.0,rhizoprionodon acutus,34770,18734,aphia
